Set,No.,Part ID,Part name,Note
1,1,5,05_MBRFA30-2P6,
1,2,8,08_SSFHRT10-75-M4-FC55-G20,
1,3,9,09_EDCS10,
1,4,10,10_CLBPS10_17_4,
1,5,12,12_CLBUS6-9-9.5,
1,6,14,14_BGPSL6-9-L30-F7,
1,7,15,15_SLBNR6,
1,8,16,16_SPWF6,
1,9,17,17_SCB4-10,
1,10,18,18_SCB3-10,
2,1,16,16_SPWF6,
2,2,16,16_SPWF6,
2,3,15,15_SLBNR6,
2,4,12,12_CLBUS6-9-9.5,
2,5,17,17_SCB4-10,
2,6,17,17_SCB4-10,
2,7,17,17_SCB4-10,
2,8,10,10_CLBPS10_17_4,
2,9,9,09_EDCS10,
2,10,14,14_BGPSL6-9-L30-F7,
3,1,18,18_SCB3-10,
3,2,18,18_SCB3-10,
3,3,18,18_SCB3-10,
3,4,8,08_SSFHRT10-75-M4-FC55-G20,
3,5,5,05_MBRFA30-2P6,
3,6,14,14_BGPSL6-9-L30-F7,
3,7,9,09_EDCS10,
3,8,10,10_CLBPS10_17_4,
3,9,12,12_CLBUS6-9-9.5,
3,10,15,15_SLBNR6,
