Set,No.,ID,Name,Note
1,1,3,x,y
1,2,4,x,y
1,3,5,x,y
1,4,6,x,y
1,5,7,x,y
1,6,8,x,y
1,7,9,x,y
1,8,10,x,y
1,9,11,x,y
1,10,12,x,y
1,11,13,x,y
1,12,14,x,y
1,13,15,x,y
1,14,16,x,y
1,15,17,x,y
1,16,18,x,y
2,1,3,x,y
2,2,4,x,y
2,3,5,x,y
2,4,6,x,y
2,5,7,x,y
2,6,8,x,y
2,7,9,x,y
2,8,10,x,y
2,9,11,x,y
2,10,12,x,y
2,11,13,x,y
2,12,14,x,y
2,13,15,x,y
2,14,16,x,y
2,15,17,x,y
2,16,18,x,y
3,1,3,x,y
3,2,4,x,y
3,3,5,x,y
3,4,6,x,y
3,5,7,x,y
3,6,8,x,y
3,7,9,x,y
3,8,10,x,y
3,9,11,x,y
3,10,12,x,y
3,11,13,x,y
3,12,14,x,y
3,13,15,x,y
3,14,16,x,y
3,15,17,x,y
3,16,18,x,y
