Set,No.,ID,Name,Note
2,6,11,11_MBRAC60-2-10,Pulley for Round Belts Clamping Type P.D. 60mm
2,7,16,16_SPWF6,M6 Washer  (Fixing for idler shaft)
2,8,8,08_KZAF1075NA4WA55GA20AA0,Drive shaft (Straight) φ10h6
2,9,13,13_MBGA30-2,4mm round belt idler pulley
2,10,6,06_MBT4-400,Polyurethane round belt （welded joint product）φ4mm L=400mm
2,1,18,18_SCB3-10,10mm M3 Hexagon socket head bolt  (metric coarse thread)
2,2,12,12_CLBUS6-9-9.5,Bearing Spacers For Inner Ring (tension pulley)
2,7,8,08_KZAF1075NA4WA55GA20AA0,Drive shaft (Straight) φ10h6
2,9,17,17_SCB4-10,10mm M4 Hexagon socket head bolt  (metric coarse thread)
2,8,9,09_EDCS10,End cap
2,10,4,04_37D-GEARMOTOR-50-70,Geared motor (Gear ratio 1:70)
